Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:BHP,"BHP Group Limited (ASX:BHP)",https://www.listcorp.com/asx/bhp/bhp-group-limited,"	216453000000",43.21,0.53,1.24,Materials
ASX:CBA,"Commonwealth Bank (ASX:CBA)",https://www.listcorp.com/asx/cba/commonwealth-bank,"	213181000000",126.25,-1.13,-0.89,Financials
ASX:CSL,"CSL Limited (ASX:CSL)",https://www.listcorp.com/asx/csl/csl-limited,"	142661000000",292.05,-3.16,-1.07,"Health Care"
ASX:NAB,"National Australia Bank Limited (ASX:NAB)",https://www.listcorp.com/asx/nab/national-australia-bank-limited,"	112202000000",36.17,-0.06,-0.17,Financials
ASX:WBC,"Westpac Banking Corp (ASX:WBC)",https://www.listcorp.com/asx/wbc/westpac,"	94471700000",27.1,-0.13,-0.48,Financials
ASX:ANZ,"ANZ Group Holdings Limited (ASX:ANZ)",https://www.listcorp.com/asx/anz/anz-group-holdings-limited,"	84932100000",28.4,0.16,0.57,Financials
ASX:MQG,"Macquarie Group Limited (ASX:MQG)",https://www.listcorp.com/asx/mqg/macquarie-group-limited,"	78388600000",204.15,-0.53,-0.26,Financials
ASX:WES,"Wesfarmers Limited (ASX:WES)",https://www.listcorp.com/asx/wes/wesfarmers-limited,"	73925700000",64.64,-0.54,-0.83,"Consumer Discretionary"
ASX:GMG,"Goodman Group (ASX:GMG)",https://www.listcorp.com/asx/gmg/goodman-group,"	65996600000",35.11,0.36,1.04,"Real Estate"
ASX:FMG,"Fortescue Ltd (ASX:FMG)",https://www.listcorp.com/asx/fmg/fortescue-ltd,"	65920600000",21.41,0.00,0,Materials
ASX:WDS,"Woodside Energy Group Ltd (ASX:WDS)",https://www.listcorp.com/asx/wds/woodside-energy-group,"	53563700000",28.255,0.05,0.16,Energy
ASX:RIO,"Rio Tinto (ASX:RIO)",https://www.listcorp.com/asx/rio/rio-tinto,"	44174700000",120.47,1.48,1.24,Materials
ASX:TLS,"Telstra Group Limited (ASX:TLS)",https://www.listcorp.com/asx/tls/telstra-group-limited,"	41827000000",3.625,0.01,0.14,"Communication Services"
